iter	Passed	Remaining
0	177	142052
1	201	80228
2	224	59579
3	248	49464
4	271	43158
5	295	39112
6	319	36247
7	344	34067
8	367	32328
9	391	30907
10	415	29788
11	439	28840
12	463	28057
13	487	27384
14	511	26762
15	534	26182
16	557	25696
17	581	25282
18	605	24908
19	628	24512
20	653	24225
21	676	23911
22	700	23666
23	724	23415
24	748	23195
25	774	23064
26	804	23022
27	831	22932
28	859	22839
29	887	22766
30	913	22671
31	941	22586
32	969	22524
33	997	22469
34	1025	22405
35	1056	22420
36	1086	22412
37	1113	22333
38	1137	22193
39	1162	22084
40	1186	21958
41	1211	21870
42	1235	21749
43	1258	21617
44	1282	21511
45	1306	21414
46	1330	21316
47	1353	21207
48	1377	21110
49	1400	21010
50	1424	20921
51	1448	20837
52	1471	20739
53	1494	20645
54	1517	20558
55	1541	20476
56	1565	20408
57	1588	20323
58	1612	20248
59	1635	20177
60	1661	20123
61	1685	20061
62	1709	19996
63	1733	19931
64	1757	19873
65	1781	19807
66	1804	19741
67	1828	19684
68	1852	19626
69	1876	19572
70	1902	19532
71	1926	19478
72	1949	19416
73	1973	19358
74	1996	19301
75	2020	19246
76	2043	19185
77	2066	19127
78	2090	19077
79	2113	19024
80	2138	18979
81	2162	18931
82	2185	18881
83	2209	18831
84	2232	18778
85	2256	18730
86	2280	18686
87	2303	18639
88	2326	18582
89	2349	18532
90	2376	18512
91	2400	18474
92	2423	18424
93	2447	18382
94	2470	18335
95	2494	18291
96	2518	18251
97	2541	18201
98	2564	18155
99	2588	18119
100	2611	18072
101	2636	18041
102	2660	18001
103	2684	17964
104	2707	17920
105	2731	17883
106	2754	17839
107	2778	17801
108	2801	17757
109	2824	17716
110	2847	17675
111	2870	17635
112	2894	17596
113	2918	17560
114	2942	17526
115	2965	17487
116	2988	17447
117	3011	17405
118	3034	17367
119	3058	17331
120	3082	17294
121	3105	17259
122	3128	17220
123	3152	17184
124	3176	17151
125	3198	17111
126	3223	17081
127	3246	17045
128	3270	17013
129	3294	16978
130	3318	16945
131	3340	16905
132	3363	16869
133	3387	16834
134	3410	16798
135	3433	16764
136	3457	16732
137	3481	16698
138	3504	16664
139	3528	16632
140	3551	16597
141	3574	16565
142	3598	16531
143	3623	16505
144	3649	16487
145	3672	16450
146	3697	16425
147	3721	16393
148	3744	16362
149	3767	16327
150	3791	16296
151	3815	16266
152	3838	16232
153	3862	16201
154	3885	16169
155	3909	16140
156	3933	16108
157	3959	16088
158	3981	16053
159	4005	16021
160	4028	15987
161	4051	15954
162	4074	15921
163	4096	15886
164	4120	15857
165	4142	15823
166	4166	15792
167	4189	15761
168	4212	15729
169	4235	15696
170	4258	15665
171	4281	15633
172	4304	15601
173	4327	15570
174	4350	15539
175	4373	15507
176	4396	15474
177	4420	15447
178	4443	15416
179	4466	15383
180	4490	15355
181	4513	15326
182	4537	15299
183	4561	15271
184	4585	15242
185	4608	15213
186	4631	15181
187	4655	15155
188	4679	15127
189	4703	15099
190	4726	15071
191	4749	15040
192	4771	15007
193	4795	14979
194	4819	14952
195	4842	14922
196	4866	14894
197	4889	14866
198	4914	14841
199	4936	14809
200	4959	14781
201	4982	14749
202	5005	14721
203	5029	14695
204	5052	14665
205	5075	14635
206	5100	14611
207	5123	14582
208	5146	14553
209	5170	14526
210	5193	14497
211	5217	14470
212	5240	14443
213	5263	14414
214	5286	14385
215	5310	14358
216	5334	14332
